episode,reward,length,success,critic_loss,actor_loss,td_error,entropy
1,-500.0,500,0,2.3390024088042844,-10.031043628165499,1.1062799082994461,0.8957052681446075
2,-500.0,500,0,3.746927830139175,-19.816502326488497,1.0569807510375977,0.8052185136079788
3,-500.0,500,0,3.708256580050802,-28.787427734375,0.9211310348510742,0.8940899406671524
4,-500.0,500,0,3.8803323021979597,-36.37161749267578,0.698324363708496,0.9633393156528473
5,-496.0,497,1,5.125206145225561,-43.964524136702536,0.7363362379477058,1.0132598553145196
6,-182.0,183,1,16.22045905315053,-45.48687510933381,1.2386888910512455,0.8918035587326425
7,-145.0,146,1,17.872762710054577,-36.707643283556585,1.1201295460740182,0.7307381440107137
8,-167.0,168,1,14.678891425056246,-35.104189791849684,1.0504516192844935,0.7522467953108606
9,-191.0,192,1,13.998309745735318,-38.16586111113429,0.8764769633611044,0.7001763808851441
10,-230.0,231,1,11.712777592845322,-30.5957860755714,0.7892745212043003,0.5762356775147575
11,-500.0,500,0,5.903677369450481,-37.96652817606926,0.6087485885620117,0.7003624388054013
12,-500.0,500,0,6.845927036434529,-21.019660199403763,0.6571881332397461,0.32640609810501336
13,-500.0,500,0,7.955162278354168,-6.726110360860824,0.7221365661621094,0.16146181600913406
14,-500.0,500,0,8.062735370129348,-17.811060307025908,0.6760546264648437,0.27226039982587097
15,-500.0,500,0,8.513393938930705,-5.577374306321144,0.5540570907592773,0.08994076491892337
16,-500.0,500,0,9.219327785149217,-9.838143363118173,0.6523519058227539,0.16068394169211386
17,-500.0,500,0,9.197316150748287,-20.701938328519464,0.5368857192993164,0.2489431376811117
18,-500.0,500,0,9.661171486586332,-0.9531133692711592,0.4535396575927734,0.013411614947021007
19,-500.0,500,0,10.185305350288749,-1.0175198994129897,0.4504131622314453,0.013784976672381162
20,-500.0,500,0,10.695095501244069,-2.082909770555794,0.44733055114746095,0.011812751709483564
21,-500.0,500,0,11.06377816091478,-0.9321309019587934,0.42336781311035154,0.007411535794381053
22,-500.0,500,0,11.352508403114975,-0.05487961356341839,0.4013622131347656,0.006388710467144847
23,-500.0,500,0,11.669214656323195,-0.1226353681385517,0.39202859497070314,0.012606022999621928
24,-500.0,500,0,12.272146717704832,-2.619213390015066,0.4266265563964844,0.01401352195162326
25,-500.0,500,0,12.247840153008699,-0.07515298010408879,0.3982889404296875,0.0079448616001755
26,-500.0,500,0,12.652399882629513,-2.283801209136844,0.4531256866455078,0.03622126989066601
27,-500.0,500,0,12.511173249438405,-2.7914467746689917,0.4066412811279297,0.017584445384331047
28,-500.0,500,0,12.541380938373505,-1.1375489605925977,0.3701506195068359,0.0050658428161405025
29,-500.0,500,0,12.719326464518904,-0.0408377403318882,0.362154296875,0.004710428708232939
30,-500.0,500,0,13.069673330202699,-1.1065305469222366,0.3800328216552734,0.0068209275528788565
31,-500.0,500,0,13.02184305536002,-0.04885206738114357,0.35392098999023436,0.0053648348608985545
32,-500.0,500,0,13.183806933403016,-1.0541196051426232,0.36371162414550784,0.007524192604236305
33,-500.0,500,0,13.256645065926016,-0.04769226951152086,0.34759466552734375,0.005265324931591749
34,-500.0,500,0,13.379825436815619,-1.1002927896156907,0.35513423156738283,0.01040634571854025
35,-500.0,500,0,13.997714390397071,-2.3455016124397514,0.4106554260253906,0.046149762311950324
36,-500.0,500,0,13.666827420007438,-11.36953072065115,0.46710542297363283,0.12558552338927984
37,-500.0,500,0,13.392292978071142,-5.994935191392899,0.34958717346191404,0.07663364183157682
38,-500.0,500,0,13.477573109015822,-4.427638068377972,0.34842997741699216,0.05398932164907456
39,-500.0,500,0,13.538031161082676,-10.199541074872016,0.3525845947265625,0.16262565280497074
40,-500.0,500,0,13.603787523225066,-44.21007543373108,0.3530266265869141,0.5077307175993919
41,-500.0,500,0,13.980512815480935,-41.65090246963501,0.4902419738769531,0.5203419950306416
42,-500.0,500,0,13.807648586001248,-59.26593857192993,0.4586784820556641,0.7020557024478913
43,-500.0,500,0,13.9506780019328,-43.28519849872589,0.4968980560302734,0.5408525867462158
44,-284.0,285,1,24.95233864403522,-46.56799861422756,0.5768300909745065,0.5387576825786056
45,-433.0,434,1,15.716999040295457,-27.746203629102574,0.45252686601630004,0.3115005061923084
46,-423.0,424,1,18.011704657343902,-24.027435932800454,0.599186195517486,0.20933280171791338
47,-387.0,388,1,17.41979462803373,-14.472324562441443,0.44728493444698375,0.15546444404063767
48,-500.0,500,0,14.074172821525485,-9.229464303493499,0.38085020446777346,0.15075486288964748
49,-165.0,166,1,41.0110521897034,-32.28198040932058,1.3522729069353587,0.4468708233907819
50,-134.0,135,1,52.769352744266186,-43.062038723958864,1.3838645652488426,0.5321411204696805
51,-160.0,161,1,44.06770082308386,-41.717912873866396,1.3173968866004706,0.5178608949880422
52,-385.0,386,1,15.099121849539381,-41.47625800457643,0.5232411320345389,0.5059768855185707
53,-303.0,304,1,24.654325628091197,-31.13266563258673,0.8803700271405672,0.41425924625639854
54,-500.0,500,0,13.91787848092243,-18.49446385669708,0.4927310791015625,0.18720749419927596
55,-500.0,500,0,13.654858029123396,-5.97813180565834,0.3618965606689453,0.0700177272260189
