episode,reward,length,success,critic_loss,mean_abs_td_error,entropy
0,-500.0,500,0,2.3390024088042844,1.1062799082994461,0.8956840633749962
1,-500.0,500,0,3.7268537620790303,1.0649691886901855,0.7976064944267273
2,-500.0,500,0,3.7494879545963777,0.9615643653869629,0.8559198361039162
3,-500.0,500,0,3.7392678629271687,0.6804825668334961,0.9768933658599853
4,-500.0,500,0,4.695658226105996,0.6849087142944336,0.8972761422395706
5,-500.0,500,0,5.493627354166121,0.6276777114868164,0.7488769867420196
6,-500.0,500,0,6.268222425015759,0.5866812133789062,0.793561492562294
7,-500.0,500,0,7.760144011518452,0.8206428451538086,0.7747644544243812
8,-500.0,500,0,7.630317014667206,0.5453678359985351,0.8746242682337761
9,-500.0,500,0,8.362349896326311,0.5568820037841797,1.0016127438545228
10,-500.0,500,0,8.828927564520388,0.5930227127075195,1.0315108735561371
11,-500.0,500,0,9.226195051482762,0.5847972106933593,1.0417886613607406
12,-500.0,500,0,9.705325610116939,0.6081910247802734,1.0023493319749832
13,-500.0,500,0,9.949532375241281,0.5645410766601563,1.0250114755630493
14,-500.0,500,0,10.356391502490151,0.5655256958007813,1.0568497861623765
15,-500.0,500,0,10.677656562378164,0.5719993438720703,1.0516674518585205
16,-500.0,500,0,11.77779581118119,0.706343505859375,0.6985017959475517
17,-500.0,500,0,11.388717459387262,0.48199168395996095,0.4091106480062008
18,-500.0,500,0,11.388781951614773,0.4044877319335938,0.6155721251666546
19,-500.0,500,0,11.51734660223429,0.425484130859375,0.6451231885999441
20,-500.0,500,0,12.059674230613629,0.5264681243896484,0.7890416813492775
21,-500.0,500,0,12.18251063651382,0.4549307861328125,0.7735103790760041
22,-500.0,500,0,12.287787567649037,0.44014984130859375,0.8568559377193451
23,-500.0,500,0,12.425776104146731,0.4223217620849609,0.7920065225958824
24,-500.0,500,0,12.578519106724999,0.3985402374267578,0.32229831302165984
25,-500.0,500,0,12.721448553629452,0.3759381866455078,0.19333236749470234
26,-500.0,500,0,12.860027095462778,0.3633870086669922,0.10903204214572906
27,-500.0,500,0,12.993991361474619,0.35943382263183593,0.07119003191590309
28,-500.0,500,0,13.134806026637554,0.37291238403320315,0.11328622240573168
29,-500.0,500,0,13.229280133518856,0.3523894500732422,0.08322244305163622
30,-500.0,500,0,13.344563148379326,0.35851473999023437,0.08079298413917423
31,-500.0,500,0,13.390728613794781,0.34777183532714845,0.2904693007916212
32,-187.0,188,1,125.71293586507338,2.4840057302028575,0.5242726210346247
33,-153.0,154,1,53.20827999114635,1.8684681979092685,0.3642385672874652
34,-173.0,174,1,34.81019098814156,1.1561407768863372,0.41412686817776195
35,-288.0,289,1,23.24655855031866,0.7344202219821178,0.4626435280155558
36,-404.0,405,1,45.06734365818125,1.2682298118685498,0.3772762365133306
37,-239.0,240,1,26.212665196846014,0.6639446576436361,0.40725196117224793
38,-178.0,179,1,36.29839662979773,1.0802644271424362,0.43216702529338485
39,-112.0,113,1,57.928039764425,1.4090746989292382,0.3253490665053899
40,-126.0,127,1,49.80994154532682,1.0674180158479947,0.3203387530153896
41,-106.0,107,1,57.79443754042525,0.9645170407874561,0.3907183859949914
42,-105.0,106,1,58.3790233055391,1.1409299598549896,0.42084543540511493
43,-143.0,144,1,42.43855155838254,0.970748053656684,0.3712950332297219
44,-113.0,114,1,58.113565940706046,1.870440165201823,0.3682194606384687
45,-161.0,162,1,36.52775517157329,0.7772852108802324,0.46302301050336275
46,-155.0,156,1,38.205296363299475,1.126134407825959,0.5105948626804047
47,-112.0,113,1,45.09702727318107,1.30276577029608,0.4558755656522987
48,-130.0,131,1,43.75808057341483,1.1583671278625953,0.5002198571922215
49,-113.0,114,1,51.80942021548726,1.1831724601879454,0.4885049983859062
50,-104.0,105,1,55.49082998489695,1.1744702293759302,0.44491201440493267
51,-105.0,106,1,54.45546416242009,1.2053265841502063,0.44884733532397253
52,-88.0,89,1,63.14677187453254,1.356789749659849,0.403285060370906
53,-130.0,131,1,31.89475645669354,1.1524357977714248,0.5140589678105507
54,-105.0,106,1,54.33681291686415,1.4007743259645857,0.48097737288137654
55,-87.0,88,1,52.393974206590265,1.5428255254572087,0.42812068514864554
56,-119.0,120,1,51.601176597862896,2.006930859883626,0.47055153697729113
57,-109.0,110,1,39.45911150695756,1.5057776364413176,0.5454361765899441
58,-110.0,111,1,174.48383975329418,3.9198594479947477,0.38582115392158695
59,-97.0,98,1,60.601954971806606,2.866999081202916,0.3841305275504686
60,-87.0,88,1,88.09739473045126,2.9960142482410776,0.4213849611749703
61,-152.0,153,1,110.41159884699238,5.164356047811072,0.46133088108663467
62,-92.0,93,1,61.119540185154975,1.9099366382886005,0.35942301194193543
63,-114.0,115,1,47.61069494517945,1.7087669040845788,0.3052550819257031
64,-79.0,80,1,66.7477128474522,1.9046121120452881,0.31151297986507415
65,-105.0,106,1,14.75096211853033,1.8699590620004907,0.3460550673024834
66,-92.0,93,1,17.64788428435643,1.6789908870573966,0.2585359194906809
67,-95.0,96,1,87.87721163793078,3.665388902028402,0.21917808327513436
68,-82.0,83,1,51.24247668357005,2.321871056614152,0.2680366847619235
69,-93.0,94,1,48.03036196234616,2.7701746960903737,0.23402803240621345
70,-85.0,86,1,61.32316929110675,1.8621935289959575,0.24841496248751185
71,-63.0,64,1,79.14620901569288,1.8729833364486694,0.21673798776464537
72,-90.0,91,1,60.902971893715275,2.0950761312966817,0.19614400571355453
73,-95.0,96,1,124.3945141462591,5.486420727024476,0.20618794528612247
74,-108.0,109,1,49.78702126264224,1.9602668832201477,0.20047861652089916
75,-112.0,113,1,52.85133848351527,2.3608805394805636,0.25796816315073356
76,-87.0,88,1,70.33404674568605,2.8652507175098765,0.3847046641167253
77,-112.0,113,1,13.83459169710873,1.7601720759298949,0.44383206429470956
78,-99.0,100,1,24.003734099885914,2.182079486846924,0.42973106300458314
79,-93.0,94,1,56.360548937277734,2.477811488699406,0.4367954463678155
80,-89.0,90,1,64.53193371414932,2.8955638461642796,0.45616192830105623
81,-127.0,128,1,37.6807245068303,1.5450284779071808,0.45157486479729414
82,-102.0,103,1,36.84598692774703,1.789931991725292,0.5050439273992788
83,-132.0,133,1,33.9314026211286,2.4247557848019707,0.5438839331325284
84,-133.0,134,1,38.46423429312226,3.0626801323534836,0.4277003734553261
85,-126.0,127,1,23.39219451280619,2.292611009492649,0.4906110687137354
86,-101.0,102,1,53.50489735444745,2.557558190588858,0.4011307929770327
87,-93.0,94,1,36.3290752297307,2.608922045281593,0.43288442462761983
88,-104.0,105,1,48.314657992089636,2.256739589146205,0.4514841822996026
89,-95.0,96,1,51.63406805290409,2.0654717286427817,0.4881673846199798
90,-97.0,98,1,41.39845155250775,2.135752892007633,0.42421829624443635
91,-100.0,101,1,17.419642332823727,2.080627686906569,0.5183116016485313
92,-98.0,99,1,44.89349178233342,2.0312213319720644,0.5288745368821453
93,-96.0,97,1,51.89417608041009,2.4965235523341858,0.5132518063116934
94,-113.0,114,1,44.10361029831039,2.3329455559713796,0.4971580349823885
95,-101.0,102,1,41.37309435179786,1.831997553507487,0.5507259069412362
96,-133.0,134,1,41.932180325146206,3.113401099817077,0.4898035183215319
97,-113.0,114,1,19.96294663361429,1.8681738000167043,0.43495699148951916
98,-105.0,106,1,49.25309246481959,3.3213754734903014,0.3514501629572994
99,-117.0,118,1,15.95608774673833,1.9753530146711964,0.5231208230479288
100,-106.0,107,1,13.941767254819284,1.7736682357075058,0.4975705662063349
101,-111.0,112,1,13.529524107613854,1.715221881866455,0.5147578217355269
102,-120.0,121,1,41.35204532311523,2.504150169940034,0.5135771520127935
103,-98.0,99,1,22.353811314480023,1.8337803464947324,0.5250976070611164
104,-109.0,110,1,33.54160839007355,2.317294571616433,0.45396774438294496
105,-97.0,98,1,23.298805822290444,1.8547981028654137,0.42437318803704516
106,-126.0,127,1,10.543984733284525,2.0545338683240995,0.44105581493358914
107,-86.0,87,1,51.997666500380326,2.6125463288405846,0.5008164031067114
108,-101.0,102,1,26.99096237227344,2.6928216148825252,0.5409370949309246
109,-103.0,104,1,42.72468868678865,2.2101964950561523,0.6152586598808949
110,-151.0,152,1,24.300783463664917,1.9935000068263005,0.708981837489103
111,-104.0,105,1,27.841415455658126,2.069986543201265,0.7740948262668791
112,-248.0,249,1,20.28160132677972,2.159655528853696,0.936215415537118
113,-113.0,114,1,17.631665665827505,1.9346414532577783,0.7526619405600062
114,-127.0,128,1,13.639722078899013,1.2730690836906433,0.7150548768695444
115,-145.0,146,1,11.126345692849211,2.0120029645423365,0.6686002622320227
116,-147.0,148,1,13.763512590277085,1.645041762171565,0.8425392840762396
117,-153.0,154,1,25.82344836355928,1.619725648458902,0.8039786020269641
118,-168.0,169,1,29.62224168781213,2.690360526361409,0.8653107214961532
119,-151.0,152,1,17.37559792342424,1.9892496058815403,0.8837722979093853
120,-179.0,180,1,20.777260390935893,1.9063182830810548,0.9067896227041881
121,-176.0,177,1,21.293241524137557,1.3703128577625685,0.8841778834660848
122,-194.0,195,1,24.420611029230834,1.9119575793926533,0.8511861504652561
123,-149.0,150,1,22.50077078948428,1.6587682596842448,0.8254875554641088
124,-130.0,131,1,31.586538598385733,1.9989988894862982,0.7919592334113958
125,-182.0,183,1,21.394886738036874,1.6525598953330451,0.8620725257800577
126,-188.0,189,1,16.62893297177833,1.2400490695206576,0.7228869885679275
127,-315.0,316,1,6.018946293667784,1.4239510312865051,0.6082325637623479
128,-341.0,342,1,10.52675821697775,1.3961136466578434,0.5488189614394254
129,-233.0,234,1,11.543334576952507,1.6829755734174678,0.5685848160686656
130,-261.0,262,1,18.819860763731914,1.4345094957424485,0.5188947870531155
131,-305.0,306,1,11.750093792528265,1.292785619598588,0.4808609693560725
132,-193.0,194,1,12.4477507994314,1.3806084308427633,0.3851658771025766
133,-161.0,162,1,24.598538299098347,1.5038977964424793,0.3498095417464221
134,-153.0,154,1,17.643547932461264,1.1585184815642122,0.33548251186291894
135,-274.0,275,1,18.557699402629144,1.4356281904740766,0.3893316609209234
136,-218.0,219,1,19.2266600063851,1.6190438989090592,0.28060094964558674
137,-170.0,171,1,25.10964176884705,1.5329964621025218,0.244568506027
138,-500.0,500,0,10.151495665522875,0.8588048324584961,0.11061522125452757
139,-155.0,156,1,15.573965442904573,1.2101346773978992,0.163211206618983
140,-168.0,169,1,18.937641560835452,1.690852148293038,0.17607925942487265
141,-157.0,158,1,27.153119394174023,1.1902844875673704,0.1686119060326792
142,-272.0,273,1,15.71421227997788,1.1270309839493189,0.22365113748953894
143,-145.0,146,1,21.261639881926932,1.2263866581328928,0.20572848573378097
144,-226.0,227,1,19.581569621466368,1.2654050079211265,0.19948153484136785
145,-167.0,168,1,17.381957394936414,1.659052122206915,0.13823937399623296
146,-179.0,180,1,19.337660134466002,1.4295395321316189,0.14557612949154444
147,-227.0,228,1,11.773746904096027,1.0926529901069508,0.20686747464596442
148,-221.0,222,1,18.20533793105278,1.4816581107474662,0.18438998723889258
149,-297.0,298,1,17.588945665727735,1.6775308567405547,0.09382161162106083
150,-123.0,124,1,8.982018435967714,1.2747185307164346,0.08269306218942567
151,-237.0,238,1,15.973810961019021,2.2444715099174437,0.07427049725621689
152,-142.0,143,1,19.05457683166463,1.2421794437861944,0.11321503577193806
153,-156.0,157,1,44.07294889728451,2.681339421849342,0.09440156190128178
154,-165.0,166,1,16.43702483374986,1.7165095087993576,0.09075170621017825
155,-142.0,143,1,26.461613989883293,1.7009817803656304,0.10292919659075307
156,-180.0,181,1,26.251621235392278,2.0746593580720174,0.09048457785627871
157,-136.0,137,1,13.408355015828818,1.9045896251706311,0.07965398361280995
158,-185.0,186,1,21.07117313667456,2.334642820460822,0.10703274459447912
159,-148.0,149,1,23.0804365387882,1.4309260733175597,0.0951757696800984
