episode,reward,length,success,epsilon,loss
1,-500.0,500,0,1.0,
2,-500.0,500,0,0.97,0.4329535961151123
3,-500.0,500,0,0.9409,0.013021640368562657
4,-500.0,500,0,0.912673,0.0005415971435140818
5,-500.0,500,0,0.8852928099999999,0.0008038137038238346
6,-500.0,500,0,0.8587340256999999,0.001138847429305315
7,-358.0,359,1,0.8329720049289999,0.0016935013299794934
8,-500.0,500,0,0.8079828447811299,0.004669567788718268
9,-500.0,500,0,0.783743359437696,0.007650646899361163
10,-500.0,500,0,0.7602310586545651,0.0069677965734153986
11,-500.0,500,0,0.7374241268949281,0.007390511926729232
12,-369.0,370,1,0.7153014030880802,0.00688131573559666
13,-500.0,500,0,0.6938423609954378,0.012512519862968474
14,-349.0,350,1,0.6730270901655747,0.015728791950802717
15,-298.0,299,1,0.6528362774606075,0.02117240099535389
16,-336.0,337,1,0.6332511891367892,0.02622194791859353
17,-318.0,319,1,0.6142536534626856,0.03031137108738566
18,-218.0,219,1,0.595826043858805,0.02555793430443564
19,-203.0,204,1,0.5779512625430409,0.03152739521179933
20,-174.0,175,1,0.5606127246667496,0.03209158112161926
21,-154.0,155,1,0.5437943429267471,0.035541253585007884
22,-203.0,204,1,0.5274805126389447,0.045806143352962736
23,-177.0,178,1,0.5116560972597763,0.04310203089870596
24,-144.0,145,1,0.496306414341983,0.04991727603984804
25,-160.0,161,1,0.48141722191172354,0.06013559827129848
26,-166.0,167,1,0.4669747052543718,0.04976943965923197
27,-158.0,159,1,0.4529654640967406,0.058448690751204325
28,-115.0,116,1,0.4393765001738384,0.05554369943425188
29,-164.0,165,1,0.42619520516862325,0.06492602515852812
30,-128.0,129,1,0.4134093490135645,0.07609853156401898
31,-97.0,98,1,0.4010070685431576,0.049206723753667
32,-137.0,138,1,0.38897685648686287,0.07293221813397131
33,-149.0,150,1,0.377307550792257,0.06589557200359801
34,-151.0,152,1,0.36598832426848926,0.07850862162702374
35,-256.0,257,1,0.35500867454043455,0.08293553867199774
36,-79.0,80,1,0.3443584143042215,0.1199853531550616
37,-132.0,133,1,0.3340276618750948,0.09413250106477872
38,-142.0,143,1,0.32400683201884195,0.10113949524694597
39,-139.0,140,1,0.3142866270582767,0.09525195279690836
40,-87.0,88,1,0.3048580282465284,0.10844541113527323
41,-121.0,122,1,0.2957122873991326,0.10220525963384597
42,-123.0,124,1,0.2868409187771586,0.10801446619593809
43,-112.0,113,1,0.27823569121384384,0.1040536707712222
44,-146.0,147,1,0.2698886204774285,0.12418576061953696
45,-151.0,152,1,0.26179196186310566,0.10671226626360103
46,-121.0,122,1,0.2539382030072125,0.11560590462911813
47,-105.0,106,1,0.2463200569169961,0.1106381124974984
